metabolomics_id,gaba,glutamate
biox001_met,3.42E-02,5.59E-01
biox002_met,3.48E-02,5.65E-01
biox003_met,3.31E-02,6.05E-01
biox004_met,1.04E-01,8.47E-03
biox005_met,9.29E-02,8.37E-03
biox006_met,1.01E-01,1.61E-02
biox007_met,1.02E-01,1.45E-02
biox008_met,9.07E-02,1.51E-02
biox009_met,8.88E-02,8.13E-03
biox010_met,9.49E-02,1.02E-02
biox011_met,9.50E-02,8.11E-03
biox012_met,1.05E-01,7.05E-03
biox013_met,9.29E-02,8.66E-03
biox014_met,9.20E-02,7.39E-03
biox015_met,1.05E-01,9.62E-03
biox016_met,1.02E-01,7.51E-03
biox017_met,1.53E-01,1.19E-02
biox018_met,1.77E-01,1.26E-02
biox031_met,1.25E-01,1.02E-02
biox032_met,1.21E-01,1.29E-02
biox033_met,4.73E-01,1.14E-01
biox034_met,5.11E-01,1.27E-01
biox035_met,6.33E-01,3.40E-02
biox036_met,6.27E-01,3.93E-02
biox049_met,0.03,0.65
biox050_met,0.04,0.64
biox051_met,0.03,0.62
biox052_met,0.03,0.96
biox053_met,0.03,0
biox054_met,0.02,0.97
biox055_met,0.02,0.91
biox056_met,0.02,0.87
biox057_met,0.03,0
biox058_met,0.03,0.92
biox059_met,0.03,0.82
biox060_met,0.02,0.02
biox061_met,0.03,0.95
biox062_met,0.03,0.94
biox063_met,0.02,0.73
biox064_met,0.03,0.39
biox065_met,0.06,0.81
biox066_met,0.04,0.87
biox079_met,0.03,0.81
biox080_met,0.12,0.29
biox081_met,0.72,0.05
biox082_met,0.74,0.04
biox083_met,0.77,0.04
biox084_met,0.79,0.05
biox097_met,0.03,0.59
biox098_met,0.03,0.57
biox099_met,0.04,0.55
biox100_met,0,0
biox101_met,0,0
biox102_met,0,0
biox103_met,0.01,0
biox104_met,0.01,0
biox105_met,0,0
biox106_met,0,0
biox107_met,0,0
biox108_met,0.02,0
biox109_met,0.02,0
biox110_met,0.02,0
biox111_met,0.01,0
biox112_met,0.02,0
biox113_met,0.03,0
biox114_met,0.03,0
biox127_met,0.03,0
biox128_met,0.02,0
biox129_met,0.11,0
biox130_met,0.38,0.03
biox131_met,0.64,0.04
biox132_met,0.53,0.05
